address_number,creation_date,name1,search_term,account_group,langu,country,region,city,city_postal_code,house_number,street,longitude,latitude,telephone_number,smtp_address,tax_number,tax_jurisdiction,rand
1006,2016-01-01,Egestas LLC,EGEST01,Domestic,English,Canada,SK,Moose Jaw,S9M 8G3,,,-30.93515,74.86651,,enim@dictum.co.uk,1602110115799,,0.0113580963
1066,2016-01-01,Tellus Company,TELLU01,International,English,United States,,Covington,87941,,4613 Nunc Street,-1.91262,-9.63526,,In.nec@lacus.org,1686121884899,,0.0212707278
1051,2016-01-01,Lacus Varius Et Corp.,,One-time,English,,MD,Baltimore,54723,,P.O. Box 405 4130 Sociis Rd.,-8.30034,-34.78808,1-490-826-5308,ornare.placerat.orci@atlacusQuisque.com,,,0.0220695152
1004,2016-01-01,Integer Eu LLC,INTEG01,International,English,United States,MS,Hattiesburg,99608,,Ap #934-4559 Libero. St.,66.90898,-85.29605,,odio@eunullaat.ca,1695101488899,USMS409991111,0.0225273845
1058,2016-01-01,Nec Corporation,NEC C01,International,English,United States,OR,Salem,99531,,Ap #682-2132 Neque. St.,51.49576,110.1158,1-321-736-1006,velit.eget.laoreet@lobortismaurisSuspendisse.ca,1679101057699,USOR759991111,0.030121806
1049,2016-01-01,Integer Foundation,INTEG02,International,English,United States,CT,Stamford,47834,P.O. Box 128,4131 Pede. Rd.,3.66423,-64.8942,1-835-908-4909,ultrices.Vivamus.rhoncus@elitdictum.ca,1660120826299,USCT064579999,0.0557554649
1015,2016-01-01,Vel Arcu LLP,VEL A01,Domestic,English,Canada,QC,Beaconsfield,G2V 0M9,,,37.78187,-39.20125,1-650-768-1557,hendrerit.consectetuer.cursus@pede.co.uk,1627021251099,,0.0590230537
1010,2016-01-01,Bibendum Incorporated,,International,English,United States,IL,Rockford,83879,,P.O. Box 573 2608 Vitae Avenue,71.07851,,1-597-381-0544,aliquet@auctorodioa.edu,,,0.0591140999
1096,2016-01-01,Placerat Institute,PLACE01,International,English,United States,MT,Helena,94984,,,-74.82307,29.18303,,Sed.eget@posuere.net,1638092795799,USMT609991111,0.0767272877
1012,2016-01-01,Fermentum Foundation,,Domestic,English,Canada,NT,Coleville Lake,X4N 8X0,,9840 Lorem Rd.,-11.79664,-133.30521,1-995-748-0787,sem@tortornibh.co.uk,1613080646499,,0.0792048766
1040,2016-01-01,Imperdiet Company,,Domestic,English,Canada,NU,Pangnirtung,X5B 1C2,,Ap #793-2889 Phasellus Street,,,,dictum.mi@orcisemeget.net,1618121368199,,0.0906294944
1030,2016-01-01,Mauris Ipsum PC,MAURI01,Domestic,English,Canada,BC,Terrance,V2K 7X2,,939-3445 Scelerisque Ave,-78.23794,103.94894,1-113-750-3525,faucibus.ut.nulla@Phasellus.net,1639101391699,,0.0944990883
1086,2016-01-01,Massa Integer Institute,MASSA01,Domestic,,Canada,NU,Cambridge Bay,,,P.O. Box 370 6920 Natoque Rd.,,12.17985,1-891-493-4258,a.enim@asollicitudinorci.co.uk,1603112716999,,0.1045149776
1033,2016-01-01,Orci Foundation,ORCI 01,International,,United States,IA,Davenport,48003,,446-6533 Amet Rd.,,,1-521-612-9995,sit.amet@nec.net,1633101616699,USIA609992222,0.1114533473
1025,2016-01-01,Diam Limited,,International,English,United States,MA,,60287,,,-47.21516,55.377,1-527-196-6471,faucibus@egetlaoreetposuere.co.uk,,,0.1118819989
1087,2016-01-01,Quis Foundation,QUIS 01,International,English,United States,KY,Covington,38674,,Ap #516-1745 Lacinia St.,-3.69701,-156.57173,1-743-239-4302,et.netus@utpellentesque.edu,1616080122399,,0.119096475
1027,2016-01-01,Pellentesque Massa Lobortis Institute,PELLE01,International,English,United States,TN,Chattanooga,90517,,2583 Fringilla Avenue,37.81714,52.12215,,Duis@Sednullaante.edu,1645120572399,USTN389991111,0.1435880529
1042,2016-01-01,Natoque Penatibus Associates,NATOQ01,One-time,English,,BC,Delta,,,3666 Neque. Av.,-54.78571,-2.73886,1-779-203-6104,scelerisque.neque@Praesenteudui.com,,,0.1467900696
1098,2016-01-01,Nulla Cras PC,NULLA02,Domestic,English,Canada,NT,Lutsel K'e,X1B 4A2,776-6363,Diam Rd.,-41.69285,-74.83023,1-527-899-0660,vulputate.velit@feugiat.edu,1693011139699,,0.1471520833
1070,2016-01-01,Luctus Et Ultrices Company,LUCTU02,Domestic,English,Canada,ON,Owen Sound,K2S 2K7,,P.O. Box 771 9653 Mattis St.,-34.76865,60.04641,,Mauris.vestibulum@odioapurus.edu,1626100423899,,0.1519166944
1081,2016-01-01,Auctor Odio PC,AUCTO02,International,,United States,,Worcester,83109,,Ap #335-3190 Et Av.,-43.75687,,1-613-399-2617,ipsum.dolor@ac.co.uk,1661041445199,,0.1541198844
